Reading text...
Counting characters...
12299 國 [국]
8146 年 [년연]
7148 的 [적]
6153 學 [학]
5300 主 [주]
5244 大 [대]
4779 中 [중총]
4669 會 [회]
4558 民 [민]
4425 人 [인]
4387 化 [화]
4227 日 [일]
4135 對 [대]
4120 等 [등]
3934 依 [의]
3761 政 [정]
3580 地 [지]
3246 分 [분]
3237 物 [물]
3185 代 [대]
3071 動 [동]
3024 義 [의]
3014 定 [정]
2974 體 [분체]
2953 月 [월]
2920 本 [본]
2901 自 [자]
2889 生 [생]
2859 成 [성]
2833 社 [사]
2811 理 [리이]
2778 後 [후]
2729 敎 [교]
2657 部 [부]
2594 世 [세]
2538 一 [일]
2512 行 [항행]
2493 實 [식실]
2463 黨 [당]
2461 韓 [한]
2441 時 [시]
2440 發 [발]
2366 戰 [전]
2343 語 [어]
2336 合 [합]
2324 文 [문온]
2318 論 [논론]
2309 法 [법]
2293 性 [성]
2284 立 [립입]
2240 用 [용]
2207 者 [자]
2142 經 [경]
2123 權 [권]
2117 力 [력역]
2045 現 [현]
2027 軍 [군]
1943 上 [상]
1939 統 [통]
1899 獨 [독]
1888 王 [왕]
1882 要 [요]
1836 外 [외]
1809 度 [도탁확]
1801 子 [자지]
1794 濟 [제]
1792 事 [사]
1791 在 [재]
1789 家 [가]
1784 東 [동]
1763 北 [배북]
1745 制 [제]
1732 關 [과관]
1707 同 [동]
1692 以 [이]
1681 共 [공]
1678 高 [고]
1676 市 [시]
1617 內 [내]
1602 作 [작]
1575 第 [제]
1551 境 [경]
1546 名 [명]
1532 氣 [기]
1520 前 [전]
1516 當 [당]
1494 間 [간한]
1481 選 [선]
1464 界 [계]
1463 個 [개]
1458 聯 [련연]
1454 質 [질]
1444 産 [산]
1444 治 [치]
1434 結 [게결]
1432 領 [령영]
1415 表 [표]
1414 南 [남]
1413 海 [해]
1406 進 [진]
1399 機 [궤기]
1397 方 [방]
1366 出 [출]
1365 反 [반]
1362 意 [의]
1356 特 [특]
1349 英 [영]
1347 業 [업]
1340 史 [사]
1332 長 [장]
1307 明 [명]
1301 構 [구]
1297 細 [세]
1290 爭 [쟁]
1279 議 [의]
1275 解 [해]
1267 期 [기령]
1264 形 [형]
1257 基 [기증]
1251 開 [개]
1250 數 [삭수]
1242 通 [통]
1231 族 [족]
1229 道 [도]
1220 域 [역예]
1217 美 [미]
1204 派 [파]
1198 新 [신]
1197 神 [신]
1194 全 [전]
1169 爲 [위]
1138 朝 [조]
1129 原 [원]
1121 下 [하]
1119 和 [화]
1118 系 [계]
1112 金 [금김]
1104 位 [위]
1088 利 [리이]
1067 心 [심]
1064 存 [존]
1058 記 [기]
1052 由 [유]
1047 支 [지]
1038 員 [원]
1024 言 [언]
1024 約 [약]
1019 類 [류유]
1019 問 [문]
1015 胞 [포]
1015 命 [명]
1014 能 [능]
1010 科 [과]
1002 各 [각]
1002 活 [활]
1001 遇 [우]
992 相 [상]
992 平 [평]
982 西 [서]
976 態 [태]
972 面 [면]
968 流 [류유]
968 府 [부]
966 變 [변]
965 入 [입]
962 不 [부불]
956 山 [산]
942 校 [교]
932 紀 [기]
932 正 [정]
925 最 [최]
923 始 [시]
916 公 [공]
913 任 [임]
909 逸 [일]
907 傳 [전]
903 重 [중]
898 有 [유]
890 場 [장]
886 素 [소]
886 擧 [거]
883 來 [내래뢰]
881 總 [총]
881 字 [자]
875 想 [상]
866 水 [수]
863 判 [판]
862 際 [제]
861 都 [도]
851 近 [근]
849 革 [혁]
848 造 [조]
846 運 [운]
841 觀 [관]
839 保 [보]
839 點 [점]
837 建 [건]
836 施 [시]
832 書 [서]
831 條 [조]
831 種 [종]
828 說 [설세열]
820 帝 [제]
817 次 [차]
816 植 [식]
816 多 [다]
812 元 [원]
809 育 [육]
799 別 [별]
798 例 [례예]
796 認 [인]
795 向 [향]
795 身 [신]
795 首 [수]
793 線 [선]
783 念 [념염]
782 强 [강]
771 題 [제]
769 鮮 [선]
766 象 [상]
759 壓 [압]
758 半 [반]
757 資 [자]
756 繼 [계]
755 思 [사]
752 使 [사]
745 然 [연]
743 交 [교]
739 宗 [종]
737 策 [책]
736 改 [개]
736 目 [목]
734 麗 [려여]
733 加 [가]
733 包 [포]
729 球 [구]
722 歷 [력역]
721 報 [보]
720 官 [관]
719 式 [식]
717 究 [구]
716 決 [결]
715 續 [속]
713 係 [계]
711 區 [구]
710 漢 [한]
707 設 [설]
703 件 [건]
702 州 [주]
696 量 [량양]
691 影 [영]
689 所 [소]
684 島 [도]
682 華 [화]
682 指 [지]
681 情 [정]
681 稱 [칭]
675 團 [단]
674 太 [태]
664 含 [함]
659 應 [경응]
654 配 [배]
654 狀 [상장]
652 勢 [세]
652 初 [초]
649 層 [층]
649 石 [석]
641 味 [미]
640 規 [규]
638 溫 [온]
634 古 [고]
632 持 [지]
631 展 [전]
631 響 [향]
629 天 [천]
628 江 [강]
621 集 [집]
619 導 [도]
618 安 [안]
617 小 [소]
611 萬 [만]
611 星 [성]
608 遺 [유]
608 確 [학확]
602 土 [토]
601 程 [정]
599 酸 [산]
598 批 [비]
595 過 [과]
593 放 [방]
592 參 [삼참]
591 接 [접]
585 三 [삼]
585 識 [식지]
584 調 [조]
578 李 [리이]
573 張 [장]
573 置 [치]
570 無 [무]
570 可 [가]
565 單 [단]
562 農 [농]
562 果 [과]
559 光 [광]
556 務 [무]
551 野 [야]
551 極 [극]
551 提 [제]
551 側 [측]
537 組 [조]
537 諸 [제]
531 價 [가개]
530 憲 [헌]
529 槪 [개]
524 見 [견현]
519 工 [공]
516 直 [직]
514 連 [련연]
510 異 [리이]
507 信 [신]
505 斷 [단]
505 羅 [나라]
501 計 [계]
501 臺 [대태]
500 比 [비]
498 差 [차]
496 視 [시]
495 取 [취]
494 容 [용]
493 回 [회]
492 移 [이]
488 求 [구]
486 承 [승]
484 常 [상]
474 岩 [암]
472 必 [필]
471 術 [술]
469 勞 [노로]
468 格 [격]
466 完 [연완]
464 知 [지]
463 精 [정]
463 陸 [륙육]
463 達 [달]
462 城 [성]
461 硏 [연]
461 女 [녀여]
460 般 [반]
460 武 [무]
460 住 [주]
458 哲 [철]
457 淸 [청]
454 委 [위]
451 河 [하]
451 管 [관]
447 電 [전]
445 準 [준]
442 根 [근]
438 據 [거]
437 院 [원]
437 限 [한]
436 白 [백]
433 屬 [속]
432 死 [사]
429 蘇 [소]
427 郡 [군]
426 復 [복부]
426 腦 [뇌]
425 色 [색]
422 句 [구귀]
420 協 [협]
419 再 [재]
419 銀 [은]
418 積 [적]
416 央 [앙]
415 階 [계]
415 周 [주]
414 轉 [전]
414 空 [공]
412 維 [유]
411 止 [지]
407 口 [구]
405 二 [이]
405 亡 [망]
402 率 [률솔율]
400 感 [감]
399 亂 [난란]
399 洋 [양]
398 攻 [공]
396 督 [독]
395 因 [인]
395 號 [호]
391 百 [백]
385 宣 [선]
382 環 [환]
382 圖 [도]
381 易 [역이]
380 推 [추]
379 典 [전]
379 盟 [맹]
378 補 [보]
378 路 [노로]
378 京 [경]
378 源 [원]
374 標 [표]
373 織 [직]
370 消 [소]
369 證 [정증]
368 得 [득]
367 陽 [양]
367 割 [할]
366 候 [후]
364 略 [략약]
363 收 [수]
363 品 [품]
361 則 [칙]
360 非 [비]
352 擊 [격]
351 滿 [만]
351 終 [종]
349 聖 [성악]
349 型 [형]
348 手 [수]
348 眞 [진]
347 先 [선]
346 與 [여]
343 侵 [침]
343 錄 [녹록]
341 灣 [만]
341 登 [등]
340 省 [생성]
340 親 [친]
339 著 [저착]
336 核 [핵]
335 敗 [패]
335 帶 [대]
335 受 [수]
335 驗 [험]
334 門 [문]
333 少 [소]
333 廣 [광엄]
333 級 [급]
330 職 [직]
330 低 [저]
328 擇 [택]
328 樣 [양]
328 査 [사]
326 畵 [화]
325 兩 [량양]
325 印 [인]
323 君 [군]
322 脈 [맥]
320 邦 [방]
320 器 [기]
320 血 [혈]
318 局 [국]
316 評 [평]
315 貿 [무]
314 退 [퇴]
313 密 [밀]
309 兵 [병]
308 末 [말]
308 席 [석]
307 卽 [즉]
306 築 [축]
306 皇 [황]
306 投 [투]
305 習 [습]
305 役 [역]
304 處 [처]
304 餘 [여]
302 液 [액]
302 備 [비]
300 述 [술]
298 衆 [중]
297 圍 [위]
297 音 [음]
297 徵 [정징]
296 夫 [부]
296 起 [기]
294 殺 [살쇄]
293 舊 [구]
293 速 [속적]
292 裁 [재]
292 害 [해]
291 或 [혹]
289 換 [환]
289 映 [영]
284 財 [재]
283 佛 [불]
282 段 [단]
282 援 [원]
282 失 [실]
282 就 [취]
282 奴 [노]
282 熱 [열]
281 番 [번]
280 風 [풍]
279 除 [제]
279 營 [영]
277 話 [화]
276 男 [남]
275 混 [혼]
273 頭 [두]
272 料 [료요]
272 閣 [각]
270 洲 [주]
270 優 [우]
269 擴 [확]
268 豫 [여예]
268 興 [흥]
267 複 [복부]
267 追 [추]
266 防 [방]
263 滅 [멸]
263 模 [모]
261 創 [창]
260 技 [기]
260 祖 [조]
260 歸 [귀]
259 案 [안]
258 絶 [절]
257 貨 [화]
256 守 [수]
254 値 [치]
254 廢 [폐]
254 馬 [마]
253 察 [찰]
252 增 [증]
251 效 [효]
251 火 [화]
251 川 [천]
251 士 [사]
249 適 [괄적]
249 劃 [획]
248 契 [계글]
248 固 [고]
247 抗 [항]
245 引 [인]
243 普 [보]
243 示 [시]
242 足 [족]
242 商 [상]
241 占 [점]
241 食 [식]
240 令 [령영]
239 盤 [반]
239 黑 [흑]
239 送 [송]
239 未 [미]
238 測 [측]
237 護 [호]
237 析 [석]
234 整 [정]
233 離 [리이]
233 照 [소조]
233 從 [종]
233 告 [고]
232 歐 [구]
232 臨 [림임]
231 葉 [섭엽협]
231 炭 [탄]
231 隊 [대]
230 遼 [료요]
230 德 [덕]
230 企 [기]
230 破 [파]
230 危 [위]
230 範 [범]
229 覺 [각]
228 列 [렬열]
228 恒 [항]
228 封 [봉]
227 鑛 [광]
226 考 [고]
226 研 []
225 採 [채]
225 握 [악]
223 唱 [창]
222 裂 [렬열]
221 擔 [단담]
221 節 [절준]
220 澤 [택]
219 輸 [수]
219 藝 [예]
218 骨 [골]
218 唐 [당]
218 激 [격]
217 減 [감]
217 否 [부]
217 壞 [괴배]
216 較 [교]
216 試 [시]
215 氏 [씨]
214 朴 [박]
214 版 [판]
213 徒 [도]
213 降 [강항]
213 着 [저착]
210 園 [원]
210 布 [포]
210 邊 [변]
209 髓 [수]
209 況 [황]
209 端 [단]
209 雜 [잡]
208 排 [배]
207 介 [개]
207 師 [사]
206 花 [화]
206 脊 [척]
206 急 [급]
203 林 [림임]
202 今 [금]
201 億 [억]
199 景 [경]
199 母 [모]
199 居 [거]
198 鬪 [투]
198 避 [피]
198 籍 [적]
197 副 [부]
196 歴 [력역]
195 律 [률율]
195 專 [단전]
195 晩 [만]
194 蒙 [몽]
194 左 [좌]
194 禁 [금]
194 赤 [적]
193 章 [장]
193 膜 [막]
193 呼 [호]
193 勝 [승]
192 製 [제]
192 均 [균]
191 越 [월]
190 綠 [녹록]
190 鐵 [철]
